title,short_name,type,points,row,position,width
Frick Chemistry TonHrs,B75,CHW,Frick Chemistry TonHrs_B75_CHW,1,1,
Frick Chemistry Steam meter,B75,STM,Frick Chemistry Steam meter_B75_STM,1,2,
Frick Chemistry KWH VM,B75,ELE,Frick Chemistry KWH VM_B75_ELE,2,1,
Moffitt Lab Steam Meter,B3B,STM,Moffitt Lab Steam Meter_B3B_STM,1,1,
Moffitt Lab KWh,B3B,ELE,Moffitt Lab KWh_B3B_ELE,2,1,
Neuro Science TonHrs,B4,CHW,Neuro Science TonHrs_B4_CHW,1,1,
Neuro Science Steam Meter,B4,STM,Neuro Science Steam Meter_B4_STM,1,2,
Neuro Science KWH VM,B4,ELE,Neuro Science KWH VM_B4_ELE,2,1,
Fine Hall TonHrs,B139,CHW,Fine Hall TonHrs_B139_CHW,1,1,
Fine Hall Steam Meter,B139,STM,Fine Hall Steam Meter_B139_STM,1,2,
Fine Hall KWH VM,B139,ELE,Fine Hall KWH VM_B139_ELE,2,1,
Jadwin Physics TonHrs VM,B130,CHW,Jadwin Physics TonHrs VM_B130_CHW,1,1,
Jadwin Physics Steam VM,B130,STM,Jadwin Physics Steam VM_B130_STM,1,2,
Jadwin physics KWH VM,B130,ELE,Jadwin physics KWH VM_B130_ELE,2,1,
Equad A-F TonHrs,B106,CHW,Equad A-F TonHrs_B106_CHW,1,1,
Equad A-F Steam VM,B106,STM,Equad A-F Steam VM_B106_STM,1,2,
Equad A-F KWH VM,B106,ELE,Equad A-F KWH VM_B106_ELE,2,1,
Energy Research (G) TonHrs,B106G,CHW,Energy Research (G) TonHrs_B106G_CHW,1,1,
Energy research (G) steam Meter,B106G,STM,Energy research (G) steam Meter_B106G_STM,1,2,
Energy Research (G) KWH VM,B106G,ELE,Energy Research (G) KWH VM_B106G_ELE,2,1,
Equad J TonHrs,B106J,CHW,Equad J TonHrs_B106J_CHW,1,1,
Equad J Steam Meter,B106J,STM,Equad J Steam Meter_B106J_STM,1,2,
Equad J KWH VM,B106J,ELE,Equad J KWH VM_B106J_ELE,2,1,
Computer Science TonHrs,B27,CHW,Computer Science TonHrs_B27_CHW,1,1,
Computer Science Steam Meter,B27,STM,Computer Science Steam Meter_B27_STM,1,2,
Computer Science KWH VM,B27,ELE,Computer Science KWH VM_B27_ELE,2,1,
Friends Center TonHrs,BFC,CHW,Friends Center TonHrs_BFC_CHW,1,1,
Friend Center Steam Meter,BFC,STM,Friend Center Steam Meter_BFC_STM,1,2,
Friend Center KWH,BFC,ELE,Friend Center KWH_BFC_ELE,2,1,
Andlinger TonHrs,B729,CHW,Andlinger TonHrs_B729_CHW,1,1,
Andlinger Steam VM,B729,STM,Andlinger Steam VM_B729_STM,1,2,
Andlinger KWH VM,B729,ELE,Andlinger KWH VM_B729_ELE,2,1,
