name,short_name,image_url,parent_site
Terminal 1,T1,,Oceanside Airport
Terminal E,TE,,Oceanside Airport
Terminal W,TW,,Oceanside Airport
Alexander Hall,B15,,Princeton University
Equad,B106B,,Princeton University
Equad Wing,B106EB,,Princeton University
Equad E-Wing,B106EP,,Princeton University
Equad F-Wing,B106F,,Princeton University
Joline,B40V,,Princeton University
Walker Hall,B56,,Princeton University
Stevenson Hall (91 Prospect),STEV,,Princeton University
University Press,B613,,Princeton University
Feinburg Hall,B0162,,Princeton University
Hoyt Lab,B157,,Princeton University
Peyton hall,B124,,Princeton University
Henry Hall,B0043,,Princeton University
East Pine/Humanities/Chanclor Green,B52,,Princeton University
Architecture,B76,,Princeton University
Child Care,B821,,Princeton University
Aaron Burr,B60,,Princeton University
20 Washington,B54,,Princeton University
Butler College,B113,,Princeton University
Equad Expansion,B106J,,Princeton University
Jadwin Physics,B130,,Princeton University
200 Elm,B163,,Princeton University
Neuro Science,B4,,Princeton University
McCosh Infirmary,B26,,Princeton University
Eno hall,B42E,,Princeton University
Schultz lab,B3A,,Princeton University
185 Nassau St,B123,,Princeton University
Whitman College,B162,,Princeton University
Nassau Hall,B74,,Princeton University
Genomics,B47,,Princeton University
Fine Hall,B139,,Princeton University
Bowen Hall,B2,,Princeton University
Energy Research,B106G,,Princeton University
Forbes College,B62,,Princeton University
McCosh Hall,B45,,Princeton University
Equad,B106,,Princeton University
87 Prospect,B129,,Princeton University
Caldwell Fieldhouse,B110,,Princeton University
Lewis Thomas,B41,,Princeton University
Andlinger Center,B729,,Princeton University
Edward Hall,B10,,Princeton University
Murry + Dodge Hall,B50,,Princeton University
DeNunzio Pool,B88,,Princeton University
1915 Hall,B71,,Princeton University
Von Neuman,B98,,Princeton University
Wilcox/Wu,B93,,Princeton University
Whig Hall,B103,,Princeton University
Dillon Gym,B8,,Princeton University
Green Hall,B111,,Princeton University
University Store / 36 University Place,B84,,Princeton University
Clio Hall,B57,,Princeton University
Fisher Benhiem,B172,,Princeton University
1879 Marx Hall,B48,,Princeton University
Grad College Old,B37,,Princeton University
Frist Campus Center,B44,,Princeton University
Woolworth Music,B116,,Princeton University
Lewis Library,B164,,Princeton University
McDonnell Hall,B130A,,Princeton University
ORFE,B177,,Princeton University
1938 Hall,B92,,Princeton University
Computer Science,B27,,Princeton University
Blair Hall,B53,,Princeton University
Friend Center,BFC,,Princeton University
Gauss,B95,,Princeton University
1937 Hall,B0091,,Princeton University
Stanhope Hall,B3,,Princeton University
Joseph Henry House,B5,,Princeton University
Robertson Hall,B119,,Princeton University
1927 Clapp Hall,B0164,,Princeton University
Chemistry,B75,,Princeton University
Carl Fields Center,B586,,Princeton University
Maclean House,B0002,,Princeton University
McCormick Hall/Library/Art Museum,B32,,Princeton University
Moffitt Labs,B3B,,Princeton University
Madison Hall,B34,,Princeton University
McCarter and Berlind Theaters,B14B,,Princeton University
Jones Hall,B12,,Princeton University
Dodge Osborne,B94,,Princeton University
Chapel,B51,,Princeton University
New South,B120,,Princeton University
Scheide Caldwell House,B624,,Princeton University
Lewis Center For The Arts,B754,,Princeton University
Corwin Hall,B85,,Princeton University
Guyot Teaching Lab,B42T,,Princeton University
Jadwin Gym,B132,,Princeton University
Cuyler Hall,B30,,Princeton University
Elipse Dorm,B161,,Princeton University
1903 + Walker Halls,B16,,Princeton University
Walace Social Science,BSS,,Princeton University
Princeton Stadium,B150,,Princeton University
Patton Dorm,B46,,Princeton University
Roberts Stadium,B699,,Princeton University
West College,B70,,Princeton University
Dickenson Hall,B13,,Princeton University
Firestone Library,B9,,Princeton University
MacMillan,B18,,Princeton University
Hamilton Hall,B39,,Princeton University
1901 (Laughlin Hall),B24,,Princeton University
Scully Dorm,B25,,Princeton University
Prospect House,B69,,Princeton University
Baker Rink,B0041,,Princeton University
Cannon Club,B115,,Princeton University
Spellman Dorm,B153,,Princeton University
Witherspoon Dorm,B66,,Princeton University
Holder Hall,B40,,Princeton University
Grad College New,B37A,,Princeton University
Little Hall,B83,,Princeton University
Dod Hall,B61,,Princeton University
Architecture Lab,B77,,Princeton University
lockhart Hall + 48 University Place,B20,,Princeton University
Brown Hall,B59,,Princeton University
Pyne Hall,B33,,Princeton University
Foulke Hall,B0042,,Princeton University
Campbell Hall,B43,,Princeton University
